"","n","Ho","Hs","Fis","site","depth","adult.seed"
"Curlew_D_A",43,0.271104157993339,0.189539643252942,-0.246094049440374,"Curlew","D","A"
"Curlew_D_S",3,0.25380723406714,0.176863007784392,-0.354458279800143,"Curlew","D","S"
"Curlew_S_A",40,0.269011070751737,0.187047912600304,-0.25980059202969,"Curlew","S","A"
"Curlew_S_S",35,0.273664508858371,0.190825275603131,-0.256690250908169,"Curlew","S","S"
"Lynch_D_A",43,0.272785026041667,0.192359627853039,-0.228533465896301,"Lynch","D","A"
"Lynch_S_A",44,0.275180532263945,0.193675899356472,-0.234470681577754,"Lynch","S","A"
"Lynch_S_S",3,0.252854513965657,0.172517078537576,-0.3839737514518,"Lynch","S","S"
"Niles_D_A",34,0.258945280228197,0.183955214324471,-0.24509143583689,"Niles","D","A"
"Niles_D_S",1,0.217423433779456,NA,NA,"Niles","D","S"
"Niles_S_A",35,0.262379706054636,0.185608443534554,-0.23916909709452,"Niles","S","A"
"Niles_S_S",10,0.249173419124438,0.171615352844834,-0.310428365019011,"Niles","S","S"
"West_D_A",25,0.256420436465276,0.180281790676827,-0.266140167890871,"West","D","A"
"West_D_S",1,0.263730569948187,NA,NA,"West","D","S"
"West_S_A",30,0.271692159763314,0.192065250923311,-0.228880548770559,"West","S","A"
"West_S_S",46,0.276712405564529,0.194823604288808,-0.226780069388056,"West","S","S"
