"indA","indB","adult.seed","method","siteHabA","siteHabB"
"DD1_01A","DD1_02A","AA","both","DD1","DD1"
"DD1_11A","DD1_13A","AA","ngsRelate","DD1","DD1"
"DD3_08A","DD3_09A","AA","both","DD3","DD3"
"DD3_08A","DD3_15A","AA","both","DD3","DD3"
"DD3_09A","DD3_15A","AA","both","DD3","DD3"
"DS1_02A","DS1_04A","AA","both","DS1","DS1"
"DS1_02A","DS1_05A","AA","both","DS1","DS1"
"DS1_02A","DS1_07A","AA","both","DS1","DS1"
"DS1_03A","ND1_14A","AA","ngsRelate","DS1","ND1"
"DS1_04A","DS1_05A","AA","both","DS1","DS1"
"DS1_04A","DS1_07A","AA","both","DS1","DS1"
"DS1_05A","DS1_07A","AA","both","DS1","DS1"
"DS2_02A","DS2_13A","AA","both","DS2","DS2"
"DS2_05A","DS2_06A","AA","both","DS2","DS2"
"DS2_05A","DS2_07A","AA","both","DS2","DS2"
"DS2_05A","DS2_08A","AA","both","DS2","DS2"
"DS2_05A","DS2_09A","AA","both","DS2","DS2"
"DS2_05A","DS2_15A","AA","both","DS2","DS2"
"DS2_06A","DS2_07A","AA","both","DS2","DS2"
"DS2_06A","DS2_08A","AA","both","DS2","DS2"
"DS2_06A","DS2_09A","AA","both","DS2","DS2"
"DS2_06A","DS2_15A","AA","both","DS2","DS2"
"DS2_07A","DS2_08A","AA","both","DS2","DS2"
"DS2_07A","DS2_09A","AA","both","DS2","DS2"
"DS2_07A","DS2_15A","AA","both","DS2","DS2"
"DS2_08A","DS2_09A","AA","both","DS2","DS2"
"DS2_08A","DS2_15A","AA","both","DS2","DS2"
"DS2_09A","DS2_15A","AA","both","DS2","DS2"
"DS2_12A","DS2_14A","AA","both","DS2","DS2"
"DS3_34S","DS3_01A","AS","ngsRelate","DS3","DS3"
"DS3_03A","DS3_04A","AA","both","DS3","DS3"
"DS3_27S","WS2_02A","AS","both","DS3","WS2"
"DS3_28S","LD3_15A","AS","both","DS3","LD3"
"DS3_29S","WS2_04A","AS","both","DS3","WS2"
"DS3_30S","WS2_05A","AS","both","DS3","WS2"
"LD1_01A","LD1_02A","AA","ngsRelate","LD1","LD1"
"LD1_01A","LD1_12A","AA","ngsRelate","LD1","LD1"
"LD1_02A","LD1_12A","AA","both","LD1","LD1"
"LD1_05A","LD1_14A","AA","both","LD1","LD1"
"LD1_07A","LD1_08A","AA","both","LD1","LD1"
"LD1_10A","LD1_11A","AA","ngsRelate","LD1","LD1"
"LD1_13A","LD1_14A","AA","ngsRelate","LD1","LD1"
"LD2_04A","LD2_05A","AA","both","LD2","LD2"
"LD2_07A","LD2_08A","AA","both","LD2","LD2"
"LD2_09A","LD2_11A","AA","both","LD2","LD2"
"LD2_09A","LD2_13A","AA","both","LD2","LD2"
"LD2_09A","LD2_15A","AA","both","LD2","LD2"
"LD2_11A","LD2_13A","AA","both","LD2","LD2"
"LD2_11A","LD2_15A","AA","both","LD2","LD2"
"LD2_13A","LD2_15A","AA","both","LD2","LD2"
"LD3_06A","LD3_07A","AA","both","LD3","LD3"
"LD3_08A","LD3_09A","AA","ngsRelate","LD3","LD3"
"LS1_01A","LS1_02A","AA","both","LS1","LS1"
"LS1_01A","LS1_13A","AA","both","LS1","LS1"
"LS1_02A","LS1_13A","AA","both","LS1","LS1"
"LS1_07A","LS1_08A","AA","both","LS1","LS1"
"LS1_07A","LS1_09A","AA","both","LS1","LS1"
"LS1_08A","LS1_09A","AA","both","LS1","LS1"
"LS2_06A","LS2_07A","AA","both","LS2","LS2"
"LS2_06A","LS2_08A","AA","both","LS2","LS2"
"LS2_07A","LS2_08A","AA","both","LS2","LS2"
"LS3_03A","LS3_13A","AA","both","LS3","LS3"
"LS3_09A","LS3_10A","AA","ngsRelate","LS3","LS3"
"LS3_11A","LS3_14A","AA","both","LS3","LS3"
"ND1_01A","ND1_03A","AA","both","ND1","ND1"
"ND3_01S","ND1_01A","AS","ngsRelate","ND3","ND1"
"ND3_01S","ND1_03A","AS","ngsRelate","ND3","ND1"
"ND3_01A","ND3_03A","AA","ngsRelate","ND3","ND3"
"ND3_01A","ND3_04A","AA","ngsRelate","ND3","ND3"
"ND3_03A","ND3_04A","AA","both","ND3","ND3"
"ND3_03A","ND3_13A","AA","ngsRelate","ND3","ND3"
"ND3_05A","ND3_14A","AA","both","ND3","ND3"
"NS2_06A","NS2_07A","AA","both","NS2","NS2"
"NS3_01A","NS3_15A","AA","both","NS3","NS3"
"WS3_17S","NS3_07A","AS","ngsRelate","WS3","NS3"
"WD1_12A","WD1_13A","AA","both","WD1","WD1"
"WS2_01A","WS2_12A","AA","ngsRelate","WS2","WS2"
"WS2_02S","WS3_03A","AS","ngsRelate","WS2","WS3"
"WS2_02S","WS3_04A","AS","ngsRelate","WS2","WS3"
"WS2_02S","WS3_05A","AS","ngsRelate","WS2","WS3"
"WS2_07A","WS2_15A","AA","ngsRelate","WS2","WS2"
"WS2_11A","WS2_12A","AA","ngsRelate","WS2","WS2"
"WS3_03A","WS3_04A","AA","ngsRelate","WS3","WS3"
"WS3_03A","WS3_05A","AA","both","WS3","WS3"
"WS3_03A","WS3_13A","AA","ngsRelate","WS3","WS3"
"WS3_04A","WS3_05A","AA","ngsRelate","WS3","WS3"
"WS3_04A","WS3_13A","AA","ngsRelate","WS3","WS3"
"WS3_05A","WS3_13A","AA","both","WS3","WS3"
"WS3_06A","WS3_07A","AA","both","WS3","WS3"
"WS3_11A","WS3_12A","AA","ngsRelate","WS3","WS3"
