"","pop1","pop2","phiST","p"
"1","Curlew_D","Curlew_S",0.0519859437548237,0
"2","Curlew_D","Lynch_D",0.0880878790107554,0
"3","Curlew_D","Lynch_S",0.114012037117063,0
"4","Curlew_D","Niles_D",0.121465166559405,0
"5","Curlew_D","Niles_S",0.131939098800157,0
"6","Curlew_D","West_D",0.141071307716823,0
"7","Curlew_D","West_S",0.0710440253409662,0
"8","Curlew_S","Lynch_D",0.0956530062422814,0
"9","Curlew_S","Lynch_S",0.111114539659066,0
"10","Curlew_S","Niles_D",0.111697939880462,0
"11","Curlew_S","Niles_S",0.122294378176971,0
"12","Curlew_S","West_D",0.134093998939824,0
"13","Curlew_S","West_S",0.0709041981562,0
"14","Lynch_D","Lynch_S",0.0349538252687278,0
"15","Lynch_D","Niles_D",0.0772177487721381,0
"16","Lynch_D","Niles_S",0.0931666818697952,0
"17","Lynch_D","West_D",0.0776018217006283,0
"18","Lynch_D","West_S",0.0277411081127743,0
"19","Lynch_S","Niles_D",0.0740104145353236,0
"20","Lynch_S","Niles_S",0.0928057491419842,0
"21","Lynch_S","West_D",0.0873353670473633,0
"22","Lynch_S","West_S",0.0392723482727855,0
"23","Niles_D","Niles_S",0.032363758956958,0
"24","Niles_D","West_D",0.103938408882559,0
"25","Niles_D","West_S",0.0592988393194032,0
"26","Niles_S","West_D",0.122787049961262,0
"27","Niles_S","West_S",0.0750622420985648,0
"28","West_D","West_S",0.0689857522555453,0
